borrow_id,date,season,year,month,hour,is_holiday,weekday,is_workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,total_users,suhu
1,2011-01-01,spring,0,1,0,Tidak,Sabtu,Bukan,Clear/Few clouds,3.28,0.2879,0.81,0.0,3,13,16,dingin
2,2011-01-01,spring,0,1,1,Tidak,Sabtu,Bukan,Clear/Few clouds,2.34,0.2727,0.8,0.0,8,32,40,dingin
3,2011-01-01,spring,0,1,2,Tidak,Sabtu,Bukan,Clear/Few clouds,2.34,0.2727,0.8,0.0,5,27,32,dingin
4,2011-01-01,spring,0,1,3,Tidak,Sabtu,Bukan,Clear/Few clouds,3.28,0.2879,0.75,0.0,3,10,13,dingin
5,2011-01-01,spring,0,1,4,Tidak,Sabtu,Bukan,Clear/Few clouds,3.28,0.2879,0.75,0.0,0,1,1,dingin
6,2011-01-01,spring,0,1,5,Tidak,Sabtu,Bukan,Mist + Cloudy,3.28,0.2576,0.75,0.0896,0,1,1,dingin
7,2011-01-01,spring,0,1,6,Tidak,Sabtu,Bukan,Clear/Few clouds,2.34,0.2727,0.8,0.0,2,0,2,dingin
8,2011-01-01,spring,0,1,7,Tidak,Sabtu,Bukan,Clear/Few clouds,1.4,0.2576,0.86,0.0,1,2,3,dingin
9,2011-01-01,spring,0,1,8,Tidak,Sabtu,Bukan,Clear/Few clouds,3.28,0.2879,0.75,0.0,1,7,8,dingin
10,2011-01-01,spring,0,1,9,Tidak,Sabtu,Bukan,Clear/Few clouds,7.04,0.3485,0.76,0.0,8,6,14,dingin
11,2011-01-01,spring,0,1,10,Tidak,Sabtu,Bukan,Clear/Few clouds,9.86,0.3939,0.76,0.2537,12,24,36,dingin
12,2011-01-01,spring,0,1,11,Tidak,Sabtu,Bukan,Clear/Few clouds,8.92,0.3333,0.81,0.2836,26,30,56,dingin
13,2011-01-01,spring,0,1,12,Tidak,Sabtu,Bukan,Clear/Few clouds,11.74,0.4242,0.77,0.2836,29,55,84,dingin
14,2011-01-01,spring,0,1,13,Tidak,Sabtu,Bukan,Mist + Cloudy,13.62,0.4545,0.72,0.2985,47,47,94,dingin
15,2011-01-01,spring,0,1,14,Tidak,Sabtu,Bukan,Mist + Cloudy,13.62,0.4545,0.72,0.2836,35,71,106,dingin
16,2011-01-01,spring,0,1,15,Tidak,Sabtu,Bukan,Mist + Cloudy,12.68,0.4394,0.77,0.2985,40,70,110,dingin
17,2011-01-01,spring,0,1,16,Tidak,Sabtu,Bukan,Mist + Cloudy,11.74,0.4242,0.82,0.2985,41,52,93,dingin
18,2011-01-01,spring,0,1,17,Tidak,Sabtu,Bukan,Mist + Cloudy,12.68,0.4394,0.82,0.2836,15,52,67,dingin
19,2011-01-01,spring,0,1,18,Tidak,Sabtu,Bukan,Light Snow/Rain,11.74,0.4242,0.88,0.2537,9,26,35,dingin
20,2011-01-01,spring,0,1,19,Tidak,Sabtu,Bukan,Light Snow/Rain,11.74,0.4242,0.88,0.2537,6,31,37,dingin
21,2011-01-01,spring,0,1,20,Tidak,Sabtu,Bukan,Mist + Cloudy,10.8,0.4091,0.87,0.2537,11,25,36,dingin
22,2011-01-01,spring,0,1,21,Tidak,Sabtu,Bukan,Mist + Cloudy,10.8,0.4091,0.87,0.194,3,31,34,dingin
23,2011-01-01,spring,0,1,22,Tidak,Sabtu,Bukan,Mist + Cloudy,10.8,0.4091,0.94,0.2239,11,17,28,dingin
24,2011-01-01,spring,0,1,23,Tidak,Sabtu,Bukan,Mist + Cloudy,13.62,0.4545,0.88,0.2985,15,24,39,dingin
25,2011-01-02,spring,0,1,0,Tidak,Minggu,Bukan,Mist + Cloudy,13.62,0.4545,0.88,0.2985,4,13,17,dingin
26,2011-01-02,spring,0,1,1,Tidak,Minggu,Bukan,Mist + Cloudy,12.68,0.4394,0.94,0.2537,1,16,17,dingin
27,2011-01-02,spring,0,1,2,Tidak,Minggu,Bukan,Mist + Cloudy,11.74,0.4242,1.0,0.2836,1,8,9,dingin
28,2011-01-02,spring,0,1,3,Tidak,Minggu,Bukan,Mist + Cloudy,13.62,0.4545,0.94,0.194,2,4,6,dingin
29,2011-01-02,spring,0,1,4,Tidak,Minggu,Bukan,Mist + Cloudy,13.62,0.4545,0.94,0.194,2,1,3,dingin
30,2011-01-02,spring,0,1,6,Tidak,Minggu,Bukan,Light Snow/Rain,11.74,0.4242,0.77,0.2985,0,2,2,dingin
31,2011-01-02,spring,0,1,7,Tidak,Minggu,Bukan,Mist + Cloudy,10.8,0.4091,0.76,0.194,0,1,1,dingin
32,2011-01-02,spring,0,1,8,Tidak,Minggu,Bukan,Light Snow/Rain,10.8,0.4091,0.71,0.2239,0,8,8,dingin
33,2011-01-02,spring,0,1,9,Tidak,Minggu,Bukan,Mist + Cloudy,9.86,0.3939,0.76,0.2239,1,19,20,dingin
34,2011-01-02,spring,0,1,10,Tidak,Minggu,Bukan,Mist + Cloudy,8.92,0.3485,0.81,0.2239,7,46,53,dingin
35,2011-01-02,spring,0,1,11,Tidak,Minggu,Bukan,Mist + Cloudy,8.92,0.3333,0.71,0.2537,16,54,70,dingin
36,2011-01-02,spring,0,1,12,Tidak,Minggu,Bukan,Mist + Cloudy,8.92,0.3333,0.66,0.2985,20,73,93,dingin
37,2011-01-02,spring,0,1,13,Tidak,Minggu,Bukan,Mist + Cloudy,8.92,0.3485,0.66,0.1343,11,64,75,dingin
38,2011-01-02,spring,0,1,14,Tidak,Minggu,Bukan,Light Snow/Rain,8.92,0.3485,0.76,0.194,4,55,59,dingin
39,2011-01-02,spring,0,1,15,Tidak,Minggu,Bukan,Light Snow/Rain,7.98,0.3333,0.81,0.1642,19,55,74,dingin
40,2011-01-02,spring,0,1,16,Tidak,Minggu,Bukan,Light Snow/Rain,7.98,0.3333,0.71,0.1642,9,67,76,dingin
41,2011-01-02,spring,0,1,17,Tidak,Minggu,Bukan,Clear/Few clouds,7.98,0.3333,0.57,0.194,7,58,65,dingin
42,2011-01-02,spring,0,1,18,Tidak,Minggu,Bukan,Mist + Cloudy,8.92,0.3333,0.46,0.3284,10,43,53,dingin
43,2011-01-02,spring,0,1,19,Tidak,Minggu,Bukan,Clear/Few clouds,7.04,0.2879,0.42,0.4478,1,29,30,dingin
44,2011-01-02,spring,0,1,20,Tidak,Minggu,Bukan,Clear/Few clouds,6.1,0.2727,0.39,0.3582,5,17,22,dingin
45,2011-01-02,spring,0,1,21,Tidak,Minggu,Bukan,Clear/Few clouds,4.22,0.2273,0.44,0.3284,11,20,31,dingin
46,2011-01-02,spring,0,1,22,Tidak,Minggu,Bukan,Clear/Few clouds,3.28,0.2121,0.44,0.2985,0,9,9,dingin
47,2011-01-02,spring,0,1,23,Tidak,Minggu,Bukan,Clear/Few clouds,2.34,0.2273,0.47,0.1642,0,8,8,dingin
48,2011-01-03,spring,0,1,0,Tidak,Senin,Ya,Clear/Few clouds,2.34,0.197,0.44,0.3582,0,5,5,dingin
49,2011-01-03,spring,0,1,1,Tidak,Senin,Ya,Clear/Few clouds,1.4,0.1667,0.44,0.4179,0,2,2,dingin
50,2011-01-03,spring,0,1,4,Tidak,Senin,Ya,Clear/Few clouds,-0.48,0.1364,0.47,0.3881,0,1,1,dingin
51,2011-01-03,spring,0,1,5,Tidak,Senin,Ya,Clear/Few clouds,-0.48,0.1364,0.47,0.2836,0,3,3,dingin
52,2011-01-03,spring,0,1,6,Tidak,Senin,Ya,Clear/Few clouds,-1.42,0.1061,0.5,0.3881,0,30,30,dingin
53,2011-01-03,spring,0,1,7,Tidak,Senin,Ya,Clear/Few clouds,-1.42,0.1364,0.5,0.194,1,63,64,dingin
54,2011-01-03,spring,0,1,8,Tidak,Senin,Ya,Clear/Few clouds,-1.42,0.1212,0.5,0.2836,1,153,154,dingin
55,2011-01-03,spring,0,1,9,Tidak,Senin,Ya,Clear/Few clouds,-0.48,0.1364,0.43,0.3881,7,81,88,dingin
56,2011-01-03,spring,0,1,10,Tidak,Senin,Ya,Clear/Few clouds,0.46,0.1667,0.43,0.2537,11,33,44,dingin
57,2011-01-03,spring,0,1,11,Tidak,Senin,Ya,Clear/Few clouds,1.4,0.1818,0.4,0.3284,10,41,51,dingin
58,2011-01-03,spring,0,1,12,Tidak,Senin,Ya,Clear/Few clouds,2.34,0.2121,0.35,0.2985,13,48,61,dingin
59,2011-01-03,spring,0,1,13,Tidak,Senin,Ya,Clear/Few clouds,3.28,0.2121,0.35,0.2836,8,53,61,dingin
60,2011-01-03,spring,0,1,14,Tidak,Senin,Ya,Clear/Few clouds,4.22,0.2424,0.3,0.2836,11,66,77,dingin
61,2011-01-03,spring,0,1,15,Tidak,Senin,Ya,Clear/Few clouds,4.22,0.2424,0.3,0.2537,14,58,72,dingin
62,2011-01-03,spring,0,1,16,Tidak,Senin,Ya,Clear/Few clouds,4.22,0.2424,0.3,0.2537,9,67,76,dingin
63,2011-01-03,spring,0,1,17,Tidak,Senin,Ya,Clear/Few clouds,3.28,0.2273,0.3,0.2239,11,146,157,dingin
64,2011-01-03,spring,0,1,18,Tidak,Senin,Ya,Clear/Few clouds,3.28,0.2576,0.32,0.1045,9,148,157,dingin
